park_name,SDI,SDI_pred,residual
"Cane River Creole National Historical Park, US, LA",3.980587458452681,6.130888260193329,-2.1503008017406477
"Pu'ukohola Heiau National Historic Site, US, HI",3.911929711163176,6.001126946753031,-2.0891972355898547
"Navajo National Monument, US, AZ",4.091551052553647,6.010036543590453,-1.9184854910368063
"Hubbell Trading Post National Historic Site, US, AZ",4.09164710913828,5.951450631886782,-1.8598035227485026
"Sunset Crater Volcano National Monument, US, AZ",4.3593929923797745,5.9990757613088945,-1.63968276892912
"SERC Education - Schoodic - Acadia National Park, US, ME",4.856955631034744,6.414160006861161,-1.5572043758264176
"Golden Gate National Recreation Area, US, CA",7.537982384344632,6.0667568770833435,1.4712255072612885
"Chattahoochee River National Recreation Area, US, GA",7.510321031227502,6.061117668781085,1.4492033624464167
"Santa Monica Mountains National Recreation Area, US, CA",7.307696258769957,6.113104047845871,1.1945922109240863
"Eisenhower National Historic Site, US, PA",5.049713623746965,6.178878641443799,-1.1291650176968338
"Buffalo National River, US, AR",7.391848608675856,6.280676457698635,1.1111721509772208
"Sleeping Bear Dunes National Lakeshore, US, MI",7.154408772070419,6.070392709755103,1.0840160623153166
"Cape Cod National Seashore, US, MA",7.130343324315159,6.059299752445205,1.0710435718699536
"Big Bend National Park, US, TX",6.976737354491727,5.954801725863908,1.0219356286278183
"Cuyahoga Valley National Park, US, OH",7.396563406571907,6.390136469579729,1.0064269369921783
"Point Reyes National Seashore, US, CA",7.209355401874098,6.2181121770901795,0.9912432247839185
"Mojave National Preserve, US, CA",6.8855362044569866,5.902800743850329,0.9827354606066576
"Chickamauga and Chattanooga National Military Park, US, GA",7.2045495633662915,6.234724780154809,0.9698247832114824
"Yosemite National Park, US, CA",6.973595541629182,6.006590800370084,0.9670047412590979
"Amistad National Recreation Area, US, TX",6.939609847445547,5.9780102658455,0.9615995816000478
"Booker T. Washington National Monument, US, VA",5.369157139772623,6.329548361274983,-0.96039122150236
"New River Gorge National Park and Preserve, US, WV",7.345379390937306,6.3865806433709835,0.9587987475663224
"Tonto National Monument, US, AZ",5.063132464865889,6.0052164697883645,-0.9420840049224752
"Shenandoah National Park, US, VA",7.3219423265767185,6.383220067802819,0.9387222587738995
"Big Thicket National Preserve, US, TX",7.176362153409326,6.242031695048241,0.9343304583610852
"Hawaii Volcanoes National Park, US, HI",5.475233370794939,6.398175226679637,-0.922941855884698
"Valley Forge National Historical Park, US, PA",7.19186789112225,6.274317997328723,0.9175498937935274
"Minute Man National Historical Park, US, MA",7.199251235369409,6.298623217465281,0.9006280179041273
"Walnut Canyon National Monument, US, AZ",5.156394252633339,6.016879628145013,-0.8604853755116739
"Charles Pinckney National Historic Site, US, SC",5.303035643858029,6.158662048408301,-0.8556264045502724
"Chickasaw National Recreation Area, US, OK",6.990083053223659,6.136054782155731,0.8540282710679277
"White Sands National Park, US, NM",5.188288119064907,6.037086739240923,-0.8487986201760158
"George Washington Birthplace National Monument, US, VA",5.471275567742871,6.279885699418472,-0.8086101316756009
"Pinnacles National Park, US, CA",6.842658878759648,6.042924173407645,0.7997347053520034
"Pipe Spring National Monument, US, AZ",5.136425608808411,5.929364285710419,-0.7929386769020086
"Fredericksburg and Spotsylvania National Military Park, US, VA",7.069269432725754,6.276804012296434,0.7924654204293198
"Fort Frederica National Monument, US, GA",5.275679603886175,6.042990706671263,-0.7673111027850883
"Whitman Mission National Historic Site, US, WA",5.4055770785787045,6.1722106062431275,-0.7666335276644229
"Saguaro National Park, US, AZ",6.666905133561105,5.9170329785707025,0.7498721549904026
"Mount Rushmore National Memorial, US, SD",5.372928711136486,6.110466066272237,-0.7375373551357516
"Big Cypress National Preserve, US, FL",6.8417238408728505,6.107688610913657,0.7340352299591935
"Arkansas Post National Memorial, US, AR",5.466641440048377,6.200553773874042,-0.733912333825665
"Cumberland Gap National Historical Park, US, KY",7.047992738087286,6.321237396193842,0.726755341893444
"Horseshoe Bend National Military Park, US, AL",5.494864061358569,6.212579324981283,-0.717715263622714
"Johnstown Flood National Memorial, US, PA",5.594726835857285,6.312397490123941,-0.717670654266656
"Coronado National Memorial, US, AZ",6.689602542733665,5.9743581119737215,0.7152444307599435
